survey_id,survey_date,surveyor,purpose,role,building_name,address,rentfaster_id,building_id,unit_type,sqft,rent,rent_psf,incentive_noted,incentive_source,included,comp_basis,condition_call,notes
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,subject,Castle Harbour,10403 158 Avenue NW,,BLDG-00398,Bachelor,350,1000,2.86,,,,,,
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,subject,Castle Harbour,10403 158 Avenue NW,,BLDG-00398,1 Bed/1 Bath,565,1083,1.92,,,,,,
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,subject,Castle Harbour,10403 158 Avenue NW,,BLDG-00398,2 Bed/1 Bath,938,1344,1.43,,,,,,
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,comp,Beau Mills Apartments,15805 Beaumaris Road,461499,BLDG-01391,2 Bed/1 Bath,1001,1395,1.39,0.5 months free rent,listing image,Y,area,,
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,comp,Pallisades Manor,16425 109 Street NW,475089,BLDG-01403,1 Bed/1 Bath,700,1333,1.90,,,Y,area,,name from inventory; survey sheet had no building name
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,comp,Hampton Court,16404 115 Street NW,289370,BLDG-01400,1 Bed/1 Bath,630,1179,1.87,$499 security deposit,promo box,Y,area,,
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,comp,Hampton Court,16404 115 Street NW,289370,BLDG-01400,2 Bed/1 Bath,900,1449,1.61,,,Y,area,,
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,comp,Warwick Apartments,12004 162 Avenue NW,288678,BLDG-01182,2 Bed/1 Bath,829,1359,1.64,,,Y,area,,
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,comp,Meadow Mews Apartments,12408 161 Avenue NW,757246,,1 Bed/1 Bath,643,1300,2.02,,,Y,area,,NOT in inventory; survey sheet address was 12048 (transposed)
2026-08-25_castle_harbour,2026-08-25,Neil,Rental market survey,comp,Meadow Mews Apartments,12408 161 Avenue NW,757246,,2 Bed/1 Bath,875,1475,1.69,,,Y,area,,NOT in inventory
